id,user_id,total_amount,status,order_date
78,23,8000.00,delivered,"2025-05-16 09:00:00"
79,24,25000.00,processing,"2025-05-22 11:30:00"
80,25,4500.00,delivered,"2025-05-28 10:00:00"
81,1,3000.00,delivered,"2025-06-03 09:00:00"
82,2,18000.00,delivered,"2025-06-09 13:00:00"
83,3,1200.00,delivered,"2025-06-15 11:00:00"
84,4,12000.00,delivered,"2025-06-20 14:00:00"
85,5,2500.00,cancelled,"2025-06-25 10:00:00"
86,11,4500.00,delivered,"2025-07-02 09:30:00"
87,12,75000.00,delivered,"2025-07-08 11:00:00"
88,13,8000.00,delivered,"2025-07-15 14:00:00"
89,14,2200.00,delivered,"2025-07-22 10:00:00"
90,15,18000.00,delivered,"2025-08-01 09:00:00"
91,6,1200.00,delivered,"2025-08-10 11:30:00"
92,7,25000.00,delivered,"2025-08-18 14:00:00"
93,8,4500.00,delivered,"2025-08-25 10:00:00"
94,9,12000.00,shipped,"2025-09-02 09:00:00"
95,10,3600.00,delivered,"2025-09-10 13:00:00"
96,16,75000.00,delivered,"2025-10-01 10:00:00"
97,17,2500.00,delivered,"2025-10-08 11:00:00"
98,18,18000.00,delivered,"2025-10-15 14:30:00"
99,19,8000.00,delivered,"2025-10-22 09:00:00"
100,20,75000.00,delivered,"2025-11-01 10:30:00"
101,21,4500.00,delivered,"2025-11-08 11:00:00"
102,22,25000.00,delivered,"2025-11-15 14:00:00"
103,23,1950.00,delivered,"2025-11-22 09:30:00"
104,24,12000.00,delivered,"2025-12-01 10:00:00"
105,25,2200.00,delivered,"2025-12-08 13:00:00"
106,1,18000.00,delivered,"2025-12-15 11:00:00"
107,2,4500.00,delivered,"2025-12-20 14:00:00"
108,3,8000.00,delivered,"2025-12-26 10:00:00"
109,4,3000.00,delivered,"2025-12-28 09:00:00"
110,5,1200.00,delivered,"2025-12-30 11:30:00"
111,11,75000.00,delivered,"2026-01-03 10:00:00"
112,12,4500.00,delivered,"2026-01-10 11:00:00"
113,13,18000.00,delivered,"2026-01-18 14:00:00"
114,14,8000.00,processing,"2026-01-25 09:30:00"
115,15,2500.00,delivered,"2026-02-01 10:00:00"
116,16,12000.00,delivered,"2026-02-08 13:00:00"
117,17,9800.00,shipped,"2026-02-15 11:00:00"
118,18,4500.00,delivered,"2026-02-22 14:00:00"
119,19,25000.00,delivered,"2026-03-01 09:00:00"
120,20,2200.00,delivered,"2026-03-08 10:30:00"
121,21,18000.00,delivered,"2026-03-15 11:00:00"
122,22,3600.00,delivered,"2026-03-22 14:00:00"
123,23,75000.00,processing,"2026-04-01 09:00:00"
124,24,1950.00,delivered,"2026-04-08 11:30:00"
125,25,12000.00,delivered,"2026-04-15 10:00:00"
