id,order_id,amount,method,status,payment_date
111,111,75000.00,credit_card,completed,"2026-05-21 22:39:01"
112,112,4500.00,mobile_banking,completed,"2026-05-21 22:39:01"
113,113,18000.00,debit_card,completed,"2026-05-21 22:39:01"
114,114,8000.00,credit_card,pending,"2026-05-21 22:39:01"
115,115,2500.00,cash_on_delivery,completed,"2026-05-21 22:39:01"
116,116,12000.00,mobile_banking,completed,"2026-05-21 22:39:01"
117,117,4500.00,debit_card,completed,"2026-05-21 22:39:01"
118,118,4500.00,mobile_banking,completed,"2026-05-21 22:39:01"
119,119,25000.00,credit_card,completed,"2026-05-21 22:39:01"
120,120,2200.00,mobile_banking,completed,"2026-05-21 22:39:01"
121,121,18000.00,credit_card,completed,"2026-05-21 22:39:01"
122,122,3600.00,debit_card,completed,"2026-05-21 22:39:01"
123,123,33500.00,credit_card,pending,"2026-05-21 22:39:01"
124,124,1950.00,mobile_banking,completed,"2026-05-21 22:39:01"
125,125,12000.00,cash_on_delivery,completed,"2026-05-21 22:39:01"
